id_revision,tema,subtema,cuestion,criterio_extraido,aplicacion_a_mi_caso,riesgo,prioridad,validar_con_asesor,documentos_necesarios,accion_recomendada,pregunta_asesor,posts_soporte,urls_soporte,ids_origen,fragmentos_soporte,observaciones
RV2-001,Gastos deducibles,criterio general de deducibilidad,Qué criterio general aplicar antes de considerar un gasto como deducible.,Solo deducir gastos corrientes del ejercicio vinculados al inmueble y necesarios para obtener el ingreso.,"No todo gasto vale: debes justificar necesidad, vinculación y carácter corriente.",Alto,Alta,Sí,Factura | Justificante bancario | Explicación de vinculación al alquiler,Crear checklist de deducibilidad por gasto.,¿Qué criterio práctico debo usar para defender que un gasto es necesario para obtener el ingreso?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,"uellos gastos corrientes del ejercicio. La palabra corriente aquí es muy importante. Es decir, todos aquellos gastos corrientes del ejercicio que estén vinculados con el inmueble y que sean necesarios para la obtención del ingreso. Súper importante esto. que sean necesarios para la obtención de los",Consolidada desde 1 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-002,Intereses hipotecarios,intereses préstamo,Qué parte de intereses y gastos de financiación puede revisarse como deducible.,"Distinguir tributos y recargos potencialmente deducibles frente a multas o sanciones no deducibles. | Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario. | Distinguir correctamente gasto deducible, reparación o mejora según el criterio del post. | Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","IBI y ciertas tasas pueden entrar, pero las sanciones no. Puede ayudarte a no perder deducción o a no aplicarla mal. Útil para clasificar facturas y evitar errores ante Hacienda.",Alto,Alta,Sí,Recibo IBI | Tasas locales | Liquidaciones | Escritura/compra | IBI con valores | Facturas mobiliario | Factura detallada | Presupuesto | Fotos antes/después | Facturas | Contratos | Extractos bancarios | Justificantes bancarios | Explicación de vinculación,"Separar tributos, recargos y sanciones en el archivo fiscal. | Preparar ficha separada de amortización si este criterio aplica. | Clasificar la factura afectada antes de meterla en renta.",¿Qué recargos e intereses locales son defendibles como deducibles y cuáles no?,"#Clase 12: Otros gastos deducibles en el RCI | #Clase 10: Los intereses y gastos de financiación | No entiendo el concepto de amortización de IRPF, ¿Se corresponde con el importe de amortización de la cuota de la hipoteca? | Directo y al grano! | Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%.",https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-10-los-intereses-y-gastos-de | https://fiscalizarte.substack.com/p/no-entiendo-el-concepto-de-amortizacion | https://fiscalizarte.substack.com/p/directo-y-al-grano | https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero,114 | 118 | 223 | 224 | 34,"s de demora. Pero si me han multado o me han sancionado por cualquier motivo, no se podría incluir. Es decir, se incluye recargos, intereses y demoras, no se incluyen multas ni sanciones, súper importante. Segundo grupito, saldo de dudoso cobro, ¿vale? Bueno, ya lo he comentado en alguna ocasión, so | visto, pues que vuelvan a esa primera clase 9 antes de seguir con esta, pues la dedicamos a ver el tema de la amortización fiscal. En este segundo grupo de gastos, veremos como digo a lo interés y gasto de financiación. ¿Qué quiere decir esto? Cuando yo compro u",Consolidada desde 9 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-003,Alquiler por habitaciones,habitaciones con distinta casuística,Cómo separar la declaración y seguimiento fiscal cuando cada habitación tiene contrato o casuística propia.,"El saldo de dudoso cobro exige plazo y primera gestión de cobro acreditable. | Las primas de seguros vinculadas al alquiler pueden ser deducibles. | Los suministros repercutidos deben declararse como ingreso y como gasto aunque el efecto final sea neutro. | Puede haber gastos deducibles fuera de la lista típica, pero exigen factura y necesidad real.","Si hay impago de una habitación, documenta desde el primer día la reclamación. Útil para RC, incendio, robo o impago si protegen la explotación del inmueble. Muy relevante si cobras habitación más suministros.",Alto,Alta,Sí,Requerimiento de pago | Correo o burofax | Extractos sin cobro | Póliza | Recibo del seguro | Justificante bancario | Contrato | Facturas de suministros | Cobros del inquilino | Factura | Contrato/encargo | Resumen anual de ingresos | Relación de gastos | Contrato por habitación | NIF/NIE arrendatario | Control de ocupación | Prueba de uso/residencia | Histórico de inquilinos | Contratos | Facturas | Justificantes de pago | Extractos bancarios | Escritura/compra | IBI con valores | Facturas mobiliario | Factura detallada | Presupuesto | Fotos antes/después | Fecha | Prueba de puesta en alquiler | Borrador renta | Escenario de tributación | Flujo de caja anual | Recibo IBI | Recibos comunidad | Pólizas/recibos | Facturas suministros,Abrir protocolo de impago con fecha de primera reclamación. | Guardar pólizas y recibos anuales en el expediente del inmueble. | Separar contractualmente renta base y suministros repercutidos.,¿Qué prueba concreta acepta Hacienda para acreditar la primera gestión de cobro y el plazo de seis meses?,"#Clase 12: Otros gastos deducibles en el RCI | #Clase 16: Cálculo del Rendimiento Neto/Reducido. | #Clase 27: Declara tus pisos por habitaciones de esta forma y ahorra impuestos. | #Clase 6: Cálculo del Rendimiento de Capital Inmobiliario. | #Clase 8: Gastos Deducibles (Cuestiones Comunes) | ¿Alquilas habitaciones en tu vivienda habitual? Así afecta a tu IRPF y a la exención por venta de vivienda habitual | 🏠 Alquilas tu piso por habitaciones… pero, ¿sabes cómo declarar bien la amortización del inmueble? | #Clase 11: Los gastos de reparación y conservación | 🏠💸 ERROR FRECUENTE EN RENTAS DE INMUEBLES: ""Se me olvidaron los gastos de reparación el año pasado... ¿Y ahora qué? | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad. | ¿Persona física o sociedad? La gran pregunta en inversión inmobiliaria | Pagas el 100% de la hipoteca… pero Hacienda solo te deja deducir el 33%. | #Clase 32: El régimen fiscal que puede ahorrarte una hostia de impuestos al aportar tus inmuebles a una sociedad. | Me casé, vendí mi casa… y Hacienda quiere venir a la luna de miel | #Clase 19: Cálculo de Ganancias y Pérdidas Patrimoniales en IRPF | Fiscalidad inmobiliaria sin humo: accede gratis a la sesión que di ayer a Comunidad Propia | “¿Por qué todo el mundo me dice que cree una sociedad si ya pago menos como no residente?” | #Clase 31: Cómo leer la contabilidad básica de una sociedad de capital aunque no seas contable. | Este inversor está jodido..",https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento | https://fiscalizarte.substack.com/p/clase-27-declara-tus-pisos-por-habitaciones | https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de | https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones | https://fiscalizarte.substack.com/p/alquilas-habitaciones-en-tu-vivienda | https://fiscalizarte.substack.com/p/alquilas-tu-piso-por-habitaciones | https://fiscalizarte.substack.com/p/clase-11-los-gastos-de-reparacion | https://fiscalizarte.substack.com/p/error-frecuente-en-rentas-de-inmuebles | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la | https://fiscalizarte.substack.com/p/persona-fisica-o-sociedad-la-gran | https://fiscalizarte.substack.com/p/pagas-el-100-de-la-hipoteca-pero | https://fiscalizarte.substack.com/p/clase-32-el-regimen-fiscal-que-puede | https://fiscalizarte.substack.com/p/me-case-vendi-mi-casa-y-hacienda | https://fiscalizarte.substack.com/p/clase-19-calculo-de-ganancias-y-perdidas | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-sin-humo | https://fiscalizarte.substack.com/p/por-que-todo-el-mundo-me-dice-que | https://fiscalizarte.substack.com/p/clase-31-como-leer-la-contabilidad | https://fiscalizarte.substack.com/p/este-inversor-esta-jodido,114 | 77 | 14 | 141 | 135 | 174 | 91 | 116 | 88 | 29 | 188 | 34 | 1 | 49 | 66 | 48 | 45 | 5 | 172,"sión, sobre todo por el grupo de Telegram, de suscriptores Premium, pero que sepáis que aquellos ingresos que no han sido cobrados después de seis meses de la primera gestión de cobro, ¿vale? Y el 39 de diciembre, obviamente, pues es decir, desde que han transcurrido seis meses hasta el 31 de diciem",Consolidada desde 32 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-004,Contrato / anexos,anexos y normas convivencia,"Qué anexos o reglas conviene documentar para reflejar gastos, suministros y convivencia.","Los gastos de formalización del contrato y ciertos servicios profesionales pueden ser deducibles si están facturados. | Conservar documentación probatoria suficiente para defender ingresos, gastos o criterio fiscal.","Puede afectar a gestoría, abogado, inmobiliaria o redacción contractual. Sirve para blindar una futura comprobación.",Medio,Alta,Sí,Factura profesional | NIF/CIF proveedor | Justificante bancario | Facturas | Contratos | Extractos bancarios,Pedir siempre factura nominativa de los servicios profesionales. | Guardar el soporte probatorio vinculado a este criterio.,¿Qué servicios de gestión o redacción contractual puedo deducir sin elevar riesgo?,#Clase 12: Otros gastos deducibles en el RCI | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad.,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la,114 | 29,"pues que sepáis que la cuota de ese seguro de impago anual me la puedo deducir, ¿vale? Es un gasto deducible. Gastos de formalización del contrato, si pago una gestoría, si pago una asesoría, pago a un abogado, pago a una inmobiliaria para que me redacte los contratos, pues todo eso se | Si tienes un alquiler (o vas a renovar contrato), esto te interesa porque es una decisión que te afecta",Consolidada desde 2 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-005,Imputación temporal,imputación temporal,Qué partidas exigen prorrateo o imputación temporal y cómo defenderlo.,Prorratear determinados gastos al periodo realmente alquilado.,"Si no alquilas todo el año, necesitas criterio temporal defendible.",Medio,Alta,Sí,Calendario de alquiler | Contratos | Cuadro de prorrateo,Llevar calendario anual de ocupación y prorrateo.,¿Qué gastos debo prorratear por tiempo de alquiler y cuáles no?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,"total y lo acumulo. Ojo que aquí... Estoy acumulando importe anual, ¿vale? Y ojo, hay que tener en cuenta que solo me puedo deducir aquello en el cual el piso ha estado alquilado. Imaginaros que yo el piso lo he tenido alquilado desde junio a diciembre, que son seis meses, no me voy a meter aquí las",Consolidada desde 1 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-006,Intereses hipotecarios,seguro vinculado hipoteca,Cuándo un seguro vinculado a la hipoteca puede o no ser deducible.,No deducir seguros de vida del préstamo salvo que fueran necesarios para obtenerlo.,"Si la hipoteca tiene productos vinculados, distingue requisito real frente a bonificación comercial.",Alto,Alta,Sí,Oferta vinculante/FEIN | Escritura préstamo | Recibos del seguro,Revisar la documentación del préstamo antes de deducir seguros asociados.,¿Mi seguro vinculado a la hipoteca era requisito del préstamo o solo bonificación del tipo?,#Clase 12: Otros gastos deducibles en el RCI,https://fiscalizarte.substack.com/p/clase-12-otros-gastos-deducibles,114,"anterior pero, bueno, por la clase 11 que no recuerdo que era los seguros de vida, me lo pregunta mucha gente solo se puede meter aquí si son necesarios para obtener el préstamo, si no es necesario para obtener el préstamo es decir, un mero bonificador del tipo de interés no es un gasto deducible, v",Consolidada desde 1 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
RV2-007,Amortización,amortización inmueble,Cómo calcular y defender la amortización del inmueble en alquiler por habitaciones.,Revisar si el post aporta criterio útil sobre amortización del inmueble o del mobiliario.,Puede ayudarte a no perder deducción o a no aplicarla mal.,Alto,Alta,Sí,Escritura/compra | IBI con valores | Facturas mobiliario,Preparar ficha separada de amortización si este criterio aplica.,¿Cómo debo calcular esta amortización en mi caso concreto?,"#Clase 13: Amortización del Mobiliario | #Clase 16: Cálculo del Rendimiento Neto/Reducido. | #Clase 6: Cálculo del Rendimiento de Capital Inmobiliario. | #Clase 8: Gastos Deducibles (Cuestiones Comunes) | #Clase 5: Imputación de Rentas Inmobilirias. | No cometas este grave error al declarar tus alquileres | #Clase 14: Amortización de las mejoras. | 🧾 Fiscalidad Inmobiliaria | ¿Cómo se calcula la amortización fiscal de un inmueble heredado y alquilado? | Directo y al grano! | 🧾 ¿Comprar, reformar y vender pisos como autónomo o como persona física? La clave fiscal que puede cambiar tu rentabilidad | #Clase 15: Cuestiones Comunes a los gastos deducibles. | #Clase 25: 100% IRPF en alquiler: la letra pequeña que te interesa de verdad. | … esto es lo que te estás perdiendo... | #Clase 9: La Amortización Fiscal del Inmueble",https://fiscalizarte.substack.com/p/clase-13-amortizacion-del-mobiliario | https://fiscalizarte.substack.com/p/clase-16-calculo-del-rendimiento | https://fiscalizarte.substack.com/p/clase-6-calculo-del-rendimiento-de | https://fiscalizarte.substack.com/p/clase-8-gastos-deducibles-cuestiones | https://fiscalizarte.substack.com/p/clase-5-imputacion-de-rentas-inmobilirias | https://fiscalizarte.substack.com/p/no-cometas-este-grave-error-al-declarar | https://fiscalizarte.substack.com/p/clase-14-amortizacion-de-las-mejoras | https://fiscalizarte.substack.com/p/fiscalidad-inmobiliaria-como-se-calcula | https://fiscalizarte.substack.com/p/directo-y-al-grano | https://fiscalizarte.substack.com/p/comprar-reformar-y-vender-pisos-como | https://fiscalizarte.substack.com/p/clase-15-cuestiones-comunes-a-los | https://fiscalizarte.substack.com/p/clase-25-100-irpf-en-alquiler-la | https://fiscalizarte.substack.com/p/esto-es-lo-que-te-estas-perdiendo | https://fiscalizarte.substack.com/p/clase-9-la-amortizacion-fiscal-del,105 | 77 | 141 | 135 | 144 | 214 | 102 | 75 | 224 | 61 | 84 | 29 | 76 | 127,"🔹 Cómo declarar esa amortización | ¿O esa amortización que te parecía confusa? | ➡️ le restas todos los gastos deducibles: IBI, comunidad, intereses de hipoteca, seguros, reparaciones, amortización, suministros si los pagas tú, etc. | Amortización del inmueble y sus bienes muebles. | construcción como el del suelo. Como veremos, este valor catastral también se va a utilizar para calcular la amortización fiscal del inmueble, lo veremos en clase siguiente, y en este caso solo se va a tener que coger el valor de la construcción y no el valor d | amortización de la construcción.",Consolidada desde 14 fila(s) del dataset 05 con mismo tratamiento o cuestión materialmente equivalente.
